variable,source,value,count,pct_of_source,cumulative_pct,n_buys_at_value
net_score,regular,-0.80,1,0.04,0.04,0
net_score,regular,-0.75,81,3.12,3.16,0
net_score,regular,-0.70,10,0.39,3.55,0
net_score,regular,-0.65,247,9.53,13.07,0
net_score,regular,-0.60,102,3.93,17.01,0
net_score,regular,-0.55,297,11.45,28.46,0
net_score,regular,-0.50,169,6.52,34.98,0
net_score,regular,-0.45,291,11.22,46.2,0
net_score,regular,-0.40,175,6.75,52.95,0
net_score,regular,-0.35,249,9.6,62.55,0
net_score,regular,-0.30,116,4.47,67.03,0
net_score,regular,-0.25,124,4.78,71.81,0
net_score,regular,-0.20,65,2.51,74.32,0
net_score,regular,-0.15,54,2.08,76.4,0
net_score,regular,-0.10,50,1.93,78.33,0
net_score,regular,-0.05,49,1.89,80.22,0
net_score,regular,0.00,142,5.48,85.69,0
net_score,regular,0.05,163,6.29,91.98,0
net_score,regular,0.10,79,3.05,95.03,0
net_score,regular,0.15,58,2.24,97.26,0
net_score,regular,0.20,49,1.89,99.15,49
net_score,regular,0.25,14,0.54,99.69,14
net_score,regular,0.30,3,0.12,99.81,3
net_score,regular,0.35,4,0.15,99.96,4
net_score,regular,0.40,1,0.04,100.0,1
net_score,premarket,-0.85,2,0.93,0.93,0
net_score,premarket,-0.75,14,6.48,7.41,0
net_score,premarket,-0.70,3,1.39,8.8,0
net_score,premarket,-0.65,18,8.33,17.13,0
net_score,premarket,-0.60,21,9.72,26.85,0
net_score,premarket,-0.55,14,6.48,33.33,0
net_score,premarket,-0.50,33,15.28,48.61,0
net_score,premarket,-0.45,24,11.11,59.72,0
net_score,premarket,-0.40,4,1.85,61.57,0
net_score,premarket,-0.35,3,1.39,62.96,0
net_score,premarket,-0.30,1,0.46,63.43,0
net_score,premarket,-0.20,3,1.39,64.81,0
net_score,premarket,-0.15,1,0.46,65.28,0
net_score,premarket,-0.10,5,2.31,67.59,0
net_score,premarket,-0.05,3,1.39,68.98,0
net_score,premarket,0.00,13,6.02,75.0,0
net_score,premarket,0.05,7,3.24,78.24,0
net_score,premarket,0.07,1,0.46,78.7,0
net_score,premarket,0.10,21,9.72,88.43,0
net_score,premarket,0.12,1,0.46,88.89,0
net_score,premarket,0.15,7,3.24,92.13,0
net_score,premarket,0.20,8,3.7,95.83,7
net_score,premarket,0.25,9,4.17,100.0,9
bull_confidence,regular,0.05,1,0.04,0.04,0
bull_confidence,regular,0.10,17,0.66,0.69,0
bull_confidence,regular,0.20,251,9.68,10.37,0
bull_confidence,regular,0.25,27,1.04,11.42,0
bull_confidence,regular,0.30,442,17.05,28.46,0
bull_confidence,regular,0.35,287,11.07,39.53,0
bull_confidence,regular,0.40,387,14.92,54.45,0
bull_confidence,regular,0.45,147,5.67,60.12,0
bull_confidence,regular,0.50,262,10.1,70.23,0
bull_confidence,regular,0.55,10,0.39,70.61,0
bull_confidence,regular,0.60,130,5.01,75.63,0
bull_confidence,regular,0.65,67,2.58,78.21,0
bull_confidence,regular,0.70,69,2.66,80.87,4
bull_confidence,regular,0.75,59,2.28,83.15,1
bull_confidence,regular,0.80,23,0.89,84.03,2
bull_confidence,regular,0.85,235,9.06,93.1,40
bull_confidence,regular,0.90,173,6.67,99.77,24
bull_confidence,regular,0.95,6,0.23,100.0,0
bull_confidence,premarket,0.10,3,1.39,1.39,0
bull_confidence,premarket,0.20,26,12.04,13.43,0
bull_confidence,premarket,0.25,12,5.56,18.98,0
bull_confidence,premarket,0.30,16,7.41,26.39,0
bull_confidence,premarket,0.35,48,22.22,48.61,0
bull_confidence,premarket,0.40,25,11.57,60.19,0
bull_confidence,premarket,0.45,4,1.85,62.04,0
bull_confidence,premarket,0.50,1,0.46,62.5,0
bull_confidence,premarket,0.60,1,0.46,62.96,0
bull_confidence,premarket,0.65,5,2.31,65.28,0
bull_confidence,premarket,0.75,5,2.31,67.59,0
bull_confidence,premarket,0.85,18,8.33,75.93,0
bull_confidence,premarket,0.90,17,7.87,83.8,6
bull_confidence,premarket,0.92,2,0.93,84.72,0
bull_confidence,premarket,0.95,33,15.28,100.0,10
bear_risk,regular,0.50,25,0.96,0.96,11
bear_risk,regular,0.55,1,0.04,1.0,0
bear_risk,regular,0.60,23,0.89,1.89,9
bear_risk,regular,0.65,133,5.13,7.02,37
bear_risk,regular,0.70,289,11.15,18.16,14
bear_risk,regular,0.75,256,9.87,28.04,0
bear_risk,regular,0.80,172,6.63,34.67,0
bear_risk,regular,0.85,1283,49.48,84.15,0
bear_risk,regular,0.90,70,2.7,86.85,0
bear_risk,regular,0.95,341,13.15,100.0,0
bear_risk,premarket,0.70,18,8.33,8.33,15
bear_risk,premarket,0.75,4,1.85,10.19,1
bear_risk,premarket,0.80,15,6.94,17.13,0
bear_risk,premarket,0.85,133,61.57,78.7,0
bear_risk,premarket,0.90,3,1.39,80.09,0
bear_risk,premarket,0.95,43,19.91,100.0,0
